[2026-05-09 18:29:40] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:40] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:40] MSG:MsgInternetStatus {"connected":true}
[2026-05-09 18:29:40] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:41] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:41] MSG:MsgInternetStatus {"connected":false}
[2026-05-09 18:29:42] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:42] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:42] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:43] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:43] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:43] MSG:MsgInternetStatus {"connected":true}
[2026-05-09 18:29:43] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:45] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:45] MSG:MsgInternetStatus {"connected":false}
[2026-05-09 18:29:45] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
